고객ID,상담자ID,상담자명,등록일,딜러명,연락처,성별,생년월일,연령대,거주지역,관심차종,방문목적,월주행거리_km,주요용도,예상예산_만원,선호색상,동승인원구성,중요요소1,중요요소2,중요요소3,최근보유차종,기타요청사항
CUST1000,CS1001,서정남,2025-03-10,홍길동,010-5655-8260,남,1978-11-14,40대,경기,투싼,구매상담,1000,출퇴근,5000,블루,친구와함께,디자인,내부공간,연비,아이오닉6,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1001,CS1001,서정남,2024-11-05,홍길동,010-3071-3150,남,1985-09-19,30대,세종,GV70,시승,2500,장거리 출장,5000,블루,친구와함께,내부공간,가성비,안전성,GV70,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1002,CS1000,김수민,2025-03-10,홍길동,010-9630-3795,남,1998-01-03,20대,전남,아반떼,견적문의,1000,장거리 출장,3500,화이트,혼자,내부공간,디자인,AS,쏘렌토,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1003,CS1009,홍예준,2024-10-31,홍길동,010-1468-1575,여,1980-06-11,40대,부산,스타리아,시승,2000,출퇴근,4500,실버,친구와함께,AS,가성비,디자인,그랜저,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1004,CS1003,김영일,2025-02-27,홍길동,010-6846-6328,여,2003-05-26,20대,대구,투싼,시승,2000,아이 등하교,4000,블루,아이동반,승차감,AS,정숙성,캐스퍼,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1005,CS1004,김재호,2024-11-12,홍길동,010-8801-8654,남,1961-11-15,60대,대전,GV70,구매상담,1000,여행,4000,실버,친구와함께,가성비,AS,연비,스타리아,중고차 보상 혜택이 있으면 알려주세요.
CUST1006,CS1000,김수민,2024-10-18,홍길동,010-9856-5463,여,1983-01-21,40대,전북,코나,시승,1000,레저,5000,실버,배우자,안전성,내부공간,재판매가,코나,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1007,CS1004,김재호,2024-12-16,홍길동,010-9987-8288,남,1955-09-10,60대,세종,GV70,견적문의,3000,레저,4000,레드,부모님동반,AS,가성비,승차감,0,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1008,CS1001,서정남,2025-01-07,홍길동,010-3213-9835,남,1960-09-05,60대,인천,싼타페,구매상담,3000,여행,4500,화이트,부모님동반,내부공간,안전성,브랜드,아이오닉6,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1009,CS1001,서정남,2025-02-08,홍길동,010-3900-8480,여,1990-10-03,30대,충북,그랜저,견적문의,2000,장거리 출장,4000,화이트,아이동반,정숙성,승차감,디자인,GV80,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1010,CS1008,이미숙,2025-01-17,홍길동,010-8126-9576,남,1958-04-02,60대,광주,아반떼,구매상담,2500,레저,2500,레드,아이동반,안전성,연비,디자인,쏘렌토,하이브리드 모델도 비교해보고 싶어요.
CUST1011,CS1004,김재호,2025-02-23,홍길동,010-9745-6073,남,1958-05-30,60대,부산,투싼,시승,500,여행,2500,네이비,친구와함께,승차감,재판매가,안전성,아반떼,반려견과 함께 탈 수 있는 공간이 있는 차량을 원합니다.
CUST1012,CS1004,김재호,2025-01-28,홍길동,010-6688-8891,여,1996-05-29,20대,울산,GV70,구매상담,3000,아이 등하교,4000,블루,아이동반,안전성,정숙성,재판매가,투싼,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1013,CS1003,김영일,2025-02-21,홍길동,010-9841-4721,남,1985-06-12,30대,대구,아반떼,시승,2500,레저,3000,레드,배우자,연비,디자인,재판매가,스타리아,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1014,CS1001,서정남,2025-02-18,홍길동,010-2467-8239,남,1962-02-11,60대,충북,그랜저,구매상담,1500,여행,3000,레드,배우자,재판매가,안전성,가성비,0,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1015,CS1006,김지원,2025-02-15,홍길동,010-6044-6992,남,1957-04-05,60대,인천,그랜저,계약,1500,여행,4000,그레이,혼자,디자인,연비,내부공간,K5,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1016,CS1001,서정남,2024-12-29,홍길동,010-7753-5256,남,1979-05-21,40대,울산,투싼,계약,1000,여행,3000,실버,부모님동반,가성비,디자인,안전성,투싼,최근 전기차에 관심이 많아요.
CUST1017,CS1000,김수민,2024-12-12,홍길동,010-3551-5973,남,1966-06-20,50대,대구,투싼,구매상담,2000,여행,4000,블랙,부모님동반,연비,승차감,내부공간,아이오닉6,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1018,CS1006,김지원,2024-10-12,홍길동,010-1172-1001,여,1999-03-06,20대,경북,코나,계약,3000,레저,5000,블루,부모님동반,승차감,가성비,브랜드,캐스퍼,통풍시트와 열선시트 꼭 필요해요.
CUST1019,CS1000,김수민,2025-02-13,홍길동,010-9574-3233,남,1961-08-21,60대,충북,아이오닉6,시승,2500,여행,4500,네이비,친구와함께,승차감,연비,디자인,아반떼,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1020,CS1001,서정남,2025-04-02,홍길동,010-6634-5698,남,1999-05-28,20대,세종,캐스퍼,시승,2500,장거리 출장,4500,레드,혼자,재판매가,디자인,내부공간,K5,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1021,CS1004,김재호,2024-10-29,홍길동,010-8687-9767,남,1954-04-16,70대,충북,투싼,견적문의,2000,장거리 출장,5000,블루,아이동반,안전성,AS,디자인,아이오닉6,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1022,CS1007,이민지,2025-01-04,홍길동,010-1136-9059,남,2000-01-17,20대,대구,GV70,구매상담,2500,아이 등하교,3000,실버,혼자,가성비,AS,브랜드,아반떼,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1023,CS1007,이민지,2024-12-24,홍길동,010-8816-5908,여,1961-07-07,60대,제주,아이오닉6,견적문의,3000,출퇴근,3000,실버,혼자,디자인,정숙성,승차감,GV70,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1024,CS1004,김재호,2025-01-16,홍길동,010-1149-8052,남,1965-02-02,50대,충북,투싼,견적문의,2500,여행,3500,네이비,혼자,디자인,내부공간,브랜드,그랜저,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1025,CS1000,김수민,2024-11-19,홍길동,010-5799-4788,여,2002-05-02,20대,광주,코나,구매상담,3000,여행,4500,블루,부모님동반,정숙성,연비,디자인,싼타페,차선 유지 보조 기능이 포함된 모델을 추천해주세요.
CUST1026,CS1002,김영자,2025-03-29,홍길동,010-1118-9981,남,1980-10-19,40대,충남,GV80,구매상담,2000,장거리 출장,2500,실버,아이동반,연비,AS,가성비,스타리아,중고차 보상 혜택이 있으면 알려주세요.
CUST1027,CS1001,서정남,2025-03-08,홍길동,010-7121-4089,여,1992-09-01,30대,전남,GV80,구매상담,1000,장거리 출장,3000,그레이,혼자,승차감,AS,내부공간,스타리아,통풍시트와 열선시트 꼭 필요해요.
CUST1028,CS1004,김재호,2024-12-07,홍길동,010-7745-8161,남,1955-07-31,60대,인천,캐스퍼,시승,2000,장거리 출장,3000,네이비,부모님동반,AS,브랜드,가성비,스타리아,중고차 보상 혜택이 있으면 알려주세요.
CUST1029,CS1000,김수민,2024-11-20,홍길동,010-7467-5094,남,1995-06-29,20대,전북,아반떼,견적문의,500,아이 등하교,3500,블루,친구와함께,내부공간,정숙성,AS,아이오닉6,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1030,CS1001,서정남,2025-04-05,홍길동,010-3675-7385,여,1957-01-20,60대,대전,GV80,견적문의,500,출퇴근,4500,그레이,아이동반,AS,내부공간,디자인,모닝,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1031,CS1009,홍예준,2024-12-14,홍길동,010-7199-4614,남,1987-03-01,30대,경기,아이오닉6,계약,500,레저,4500,블루,배우자,AS,내부공간,디자인,K5,차량 색상은 흰색이나 회색 계열로 선호합니다.
CUST1032,CS1009,홍예준,2025-01-31,홍길동,010-5308-2297,여,1971-11-04,50대,인천,코나,견적문의,3000,여행,3500,그레이,아이동반,정숙성,승차감,가성비,티볼리,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1033,CS1006,김지원,2025-01-20,홍길동,010-7917-4924,남,1981-10-12,40대,강원,캐스퍼,시승,1500,아이 등하교,3000,그레이,친구와함께,재판매가,AS,안전성,XM3,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1034,CS1007,이민지,2025-02-18,홍길동,010-9464-5454,남,2001-03-24,20대,제주,스타리아,구매상담,3000,출퇴근,3500,레드,친구와함께,AS,디자인,가성비,GV80,최근 전기차에 관심이 많아요.
CUST1035,CS1003,김영일,2024-10-24,홍길동,010-5664-9715,남,1972-12-05,50대,광주,아이오닉6,시승,1000,여행,4500,네이비,혼자,안전성,내부공간,가성비,모닝,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
CUST1036,CS1007,이민지,2025-01-08,홍길동,010-5404-7765,여,1971-06-11,50대,세종,싼타페,시승,500,여행,3000,블랙,친구와함께,안전성,연비,가성비,투싼,최근 전기차에 관심이 많아요.
CUST1037,CS1007,이민지,2024-11-22,홍길동,010-4080-2121,남,1984-05-21,40대,경북,GV70,견적문의,2000,레저,5000,레드,부모님동반,정숙성,안전성,승차감,0,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1038,CS1007,이민지,2024-11-14,홍길동,010-3988-3238,여,1954-06-11,70대,세종,코나,계약,3000,장거리 출장,3500,그레이,혼자,브랜드,가성비,재판매가,K5,통풍시트와 열선시트 꼭 필요해요.
CUST1039,CS1005,김은서,2025-04-02,홍길동,010-5744-2808,남,1972-05-03,50대,광주,싼타페,구매상담,2000,장거리 출장,5000,블랙,혼자,내부공간,재판매가,AS,XM3,차박이 가능한 SUV 모델을 찾고 있어요.
CUST1040,CS1006,김지원,2024-10-29,홍길동,010-8460-8418,남,1994-12-16,30대,울산,캐스퍼,계약,2500,출퇴근,4500,그레이,부모님동반,연비,AS,브랜드,모닝,운전이 처음이라 주행 보조 기능이 있으면 좋아요.
CUST1041,CS1006,김지원,2025-02-12,홍길동,010-5458-9060,남,1989-07-29,30대,경남,투싼,견적문의,2000,여행,2500,그레이,아이동반,내부공간,승차감,안전성,코나,소음이 적고 승차감이 좋은 차량을 원합니다.
CUST1042,CS1009,홍예준,2025-03-20,홍길동,010-4076-6253,남,1975-08-31,40대,전북,GV80,시승,500,여행,3000,네이비,부모님동반,승차감,연비,브랜드,모닝,중고차 보상 혜택이 있으면 알려주세요.
CUST1043,CS1005,김은서,2024-12-24,홍길동,010-1317-3492,남,1972-06-07,50대,경북,아반떼,견적문의,2000,아이 등하교,4000,실버,혼자,안전성,연비,정숙성,쏘렌토,아이와 함께 탈 수 있도록 안전 기능이 중요해요.
CUST1044,CS1003,김영일,2024-12-23,홍길동,010-1813-9764,남,1982-07-15,40대,부산,아이오닉6,구매상담,1000,출퇴근,4500,블랙,배우자,승차감,안전성,디자인,캐스퍼,카시트 장착이 편리한 차량이면 좋겠습니다.
CUST1045,CS1007,이민지,2025-03-07,홍길동,010-1362-4046,여,1999-03-03,20대,충남,싼타페,시승,1000,아이 등하교,2500,레드,혼자,브랜드,내부공간,정숙성,캐스퍼,하이브리드 모델도 비교해보고 싶어요.
CUST1046,CS1001,서정남,2024-11-20,홍길동,010-2675-5622,남,1987-12-20,30대,인천,코나,시승,2500,출퇴근,3500,레드,부모님동반,AS,디자인,재판매가,아이오닉6,주차가 쉬운 컴팩트한 차량을 원합니다.
CUST1047,CS1006,김지원,2024-10-24,홍길동,010-5410-3048,여,1977-04-19,40대,인천,캐스퍼,견적문의,3000,여행,5000,블랙,부모님동반,승차감,정숙성,브랜드,0,장거리 운전에 적합한 모델을 추천받고 싶어요.
CUST1048,CS1007,이민지,2024-10-18,홍길동,010-8183-1134,여,1965-08-01,50대,경기,아반떼,구매상담,500,아이 등하교,4000,블랙,부모님동반,재판매가,내부공간,AS,아이오닉6,중고차 보상 혜택이 있으면 알려주세요.
CUST1049,CS1007,이민지,2025-01-22,홍길동,010-4814-2477,여,1988-02-16,30대,대전,스타리아,구매상담,1500,아이 등하교,3500,실버,친구와함께,브랜드,정숙성,연비,캐스퍼,중고차 보상 혜택이 있으면 알려주세요.
CUST1050,CS1001,서정남,2024-12-11,홍길동,010-3468-1241,남,1961-07-08,60대,전남,스타리아,구매상담,3000,여행,5000,블루,부모님동반,안전성,연비,디자인,GV80,출퇴근용으로 연비가 좋은 차를 찾고 있어요.
